Year,Value,Units
2016,18.52,GDP per employed person in Thousands of Dollars
2017,21.58,GDP per employed person in Thousands of Dollars
2018,22.59,GDP per employed person in Thousands of Dollars
2019,21.3,GDP per employed person in Thousands of Dollars
2020,19.82,GDP per employed person in Thousands of Dollars
2016,-18.42,GDP growth rate per employed person
2017,14.17,GDP growth rate per employed person
2018,4.5,GDP growth rate per employed person
2019,-6.08,GDP growth rate per employed person
2020,-7.48,GDP growth rate per employed person
